property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
Nhà mặt tiền,6.5,100.0,m²,1.0,1.0,,20.0,"TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ khác,Đông Nam,5.0,Đông Nam,6.5,"100 m²(5,0x20,0)",1 phòng,1 WC,Thiên
Nhà mặt tiền,7.5,98.4,m²,4.0,4.0,3.0,,"Xã Vĩnh Ngọc, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,,,,7.5,"98,4 m²",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,2.55,38.5,m²,2.0,2.0,2.0,,"Phường Phước Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Bắc,,,2.55,"38,5 m²",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,5.4,47.8,m²,4.0,7.0,4.0,12.0,"Phường Lộc Thọ, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Nam,3.6,,5.4,"47,8 m²(3,6x12,0)",4 phòng,7 WC,Thiên
Nhà mặt tiền,6.6,63.0,m²,2.0,2.0,,16.0,"Phường Phước Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Nam,4.0,,6.6,"63 m²(4,0x16,0)",2 phòng,2 WC,Thiên
Biệt thự,15.0,154.0,m²,3.0,,,,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Đang chờ sổ,Đông Nam,,,15.0,154 m²,3 phòng,,Thiên
Nhà mặt tiền,19.5,135.0,m²,3.0,4.0,3.0,25.0,"Phường Tân Lập, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,5.5,,19.5,"135 m²(5,5x25,0)",3 phòng,4 WC,Thiên
Nhà hẻm ngõ,2.65,54.0,m²,4.0,3.0,,11.0,"Đường Nguyễn Khuyến, Phường Vĩnh Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Bắc,4.8,Bắc,2.65,"54 m²(4,8x11,0)",4 phòng,3 WC,Thiên
Nhà mặt tiền,20.5,68.3,m²,4.0,4.0,3.0,,"Phường Tân Lập, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,,,,20.5,"68,3 m²",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,2.75,64.0,m²,2.0,2.0,,16.0,"Đường 2 Tháng 4, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Đông Bắc,4.0,Đông Bắc,2.75,"64 m²(4,0x16,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,7.0,114.5,m²,3.0,2.0,2.0,15.0,"Phường Vĩnh Nguyên, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,7.5,,7.0,"114,5 m²(7,5x15,0)",3 phòng,2 WC,Thiên
Nhà hẻm ngõ,6.8,42.7,m²,4.0,2.0,3.0,9.0,"Phường Lộc Thọ, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,4.3,,6.8,"42,7 m²(4,3x9,0)",4 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.69,61.8,m²,2.0,1.0,,,"Xã Phước Đồng, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,,,2.69,"61,8 m²",2 phòng,1 WC,Thiên
Nhà mặt tiền,10.4,160.0,m²,1.0,1.0,1.0,20.0,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Bắc,8.0,,10.4,"160 m²(8,0x20,0)",1 phòng,1 WC,Thiên
Nhà hẻm ngõ,2.98,38.6,m²,3.0,2.0,2.0,7.5,"Phường Phương Sài, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,,5.3,,2.98,"38,6 m²(5,3x7,5)",3 phòng,2 WC,Thiên
Biệt thự,2.2,661.0,m²,2.0,2.0,1.0,52.8,"Xã Diên Đồng, Huyện Diên Khánh, Khánh Hòa",Khánh Hòa,Huyện Diên Khánh,Giấy tờ hợp lệ,Đông,12.5,,2.2,"661 m²(12,5x52,8)",2 phòng,2 WC,Thiên
Nhà mặt tiền,10.8,73.6,m²,1.0,1.0,1.0,18.0,"Phường Tân Lập, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Nam,4.0,,10.8,"73,6 m²(4,0x18,0)",1 phòng,1 WC,Thiên
Nhà mặt tiền,3.95,168.0,m²,3.0,2.0,2.0,18.0,"Đường Hoà Trung, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Nam,7.4,Nam,3.95,"168 m²(7,4x18,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,35.0,234.0,m²,5.0,,3.0,,"Phường Vạn Thạnh, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Bắc,,,35.0,234 m²,5 phòng,,Thiên
Nhà hẻm ngõ,2.9,56.0,m²,3.0,2.0,2.0,14.0,"Đường Nguyễn Đức Thuận, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,,4.0,Tây,2.9,"56 m²(4,0x14,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,3.95,47.4,m²,4.0,3.0,4.0,,"Xã Vĩnh Ngọc, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây Nam,,,3.95,"47,4 m²",4 phòng,3 WC,Thiên
Nhà mặt tiền,2.85,78.0,m²,2.0,2.0,,16.0,"Đường Đăng Lộ, Phường Vĩnh Hải, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Đông Bắc,5.0,Đông Bắc,2.85,"78 m²(5,0x16,0)",2 phòng,2 WC,Thiên
