property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà hẻm ngõ,3.5,180.0,m²,2.0,2.0,,22.5,"Phường Xuân Yên, Thị Xã Sông Cầu, Phú Yên",Phú Yên,Thị Xã Sông Cầu,Giấy tờ hợp lệ,,8.0,,3.5,"180 m²(8,0x22,5)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.2,134.0,m²,,,,14.0,"Đường Hùng Vương, Xã Hòa Hiệp Trung, Huyện Đông Hoà, Phú Yên",Phú Yên,Huyện Đông Hoà,Sổ hồng,,9.7,,2.2,"134 m²(9,7x14,0)",,,Thiên
Mặt tiền,7.0,100.0,m²,4.0,4.0,4.0,20.0,"53, Đường Nguyễn thế Bảo, Phường 9, TP. Tuy Hoà, Phú Yên",Phú Yên,TP. Tuy Hoà,Sổ đỏ,Đông,5.0,Đông,7.0,"100 m²(5,0x20,0)",4 phòng,4 WC,Thiên
Nhà mặt tiền,19.95,149.0,m²,4.0,3.0,3.0,19.0,"Phường Nam Lý, TP. Đồng Hới, Quảng Bình",Quảng Bình,TP. Đồng Hới,Giấy tờ hợp lệ,,8.0,,19.95,"149 m²(8,0x19,0)",4 phòng,3 WC,Thiên
Mặt tiền,3.5,200.0,m²,3.0,2.0,2.0,20.0,"Thị Trấn Hoàn Lão, Huyện Bố Trạch, Quảng Bình",Quảng Bình,Huyện Bố Trạch,Giấy tờ hợp lệ,Đông Nam,10.0,,3.5,"200 m²(10,0x20,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,19.95,149.0,m²,4.0,3.0,3.0,19.0,"Phường Nam Lý, TP. Đồng Hới, Quảng Bình",Quảng Bình,TP. Đồng Hới,Giấy tờ hợp lệ,,8.0,,19.95,"149 m²(8,0x19,0)",4 phòng,3 WC,Thiên
Mặt tiền,3.5,200.0,m²,3.0,2.0,2.0,20.0,"Thị Trấn Hoàn Lão, Huyện Bố Trạch, Quảng Bình",Quảng Bình,Huyện Bố Trạch,Giấy tờ hợp lệ,Đông Nam,10.0,,3.5,"200 m²(10,0x20,0)",3 phòng,2 WC,Thiên
