property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,facing_direction,balcony_direction,front_width,front_road_width,title,latitude,longitude,verified,location,location_details,date_of_posting,url
Căn hộ chung cư,"6,5 tỷ",83 m²,2 phòng,2 phòng,,,,Đông - Bắc,Tây - Nam,,,"Bán CC The Wisteria tại Đường 32, Hoài Đức, Hà Nội, 6,5 tỷ, 83m2, hàng hiếm chỉ với",21.0754879226576,105.698294915618,0,"Hoài Đức, Hà Nội","The Wisteria, Đường 32, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/ban-cc-tai-32-hoai-duc-ha-noi-6-5-ty-83m2-hang-hiem-chi-voi-pr44803416
Căn hộ chung cư,"4,25 tỷ",68 m²,2 phòng,2 phòng,,,,,,,,Giỏ hàng The Pegasuite 4.25tỷ /68m2; 3.9tỷ/60m2; 5.5tỷ/3PN LH em tư vấn chọn căn tốt,10.73427661127956,106.65376232929631,0,"Quận 8, Hồ Chí Minh","Dự án The Pegasuite, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ta-quang-buu-phuong-6-10-prj-the-pegasuite/gio-hang-4-25ty-68m2-3-9ty-60m2-5-5ty-3pn-lh-em-tu-van-chon-tot-pr44803476
Căn hộ chung cư,"2,1 tỷ",45 m²,1 phòng,1 phòng,,Hợp đồng mua bán,,,,,,"Giỏ hàng đợt 1 FPT Plaza 4, giá gốc từ CĐT, thanh toán tiến độ, bàn giao nội thất cao cấp",15.9837097071076,108.252392278676,0,"Ngũ Hành Sơn, Đà Nẵng","FPT City Đà Nẵng, Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-hoa-hai-prj-fpt-city-da-nang/gio-hang-dot-1-plaza-4-gia-goc-tu-cdt-thanh-toan-tien-do-ban-giao-noi-that-cao-cap-pr44803143
Căn hộ chung cư,Thỏa thuận,70 m²,3 phòng,2 phòng,,Hợp đồng mua bán,Đầy đủ,,,,,Rivea Hoàng Mai - Chung cư cao cấp cạnh Times City,20.99510928283986,105.87677802878837,0,"Hoàng Mai, Hà Nội","Dự án Rivea Residences, Đường Vĩnh Hưng, Phường Thanh Trì, Hoàng Mai, Hà Nội",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vinh-hung-phuong-thanh-tri-prj-rivea-residences/-hoang-mai-chug-cao-cap-canh-times-city-pr44803099
Căn hộ chung cư,3 tỷ,65 m²,2 phòng,2 phòng,,Hợp đồng mua bán,Full đồ.,,,,,"Hạ giá bất ngờ căn hộ RichStar 2PN giá 3 tỷ, 3PN giá 4 tỷ đã có HĐMB",10.772295536510766,106.62547531637956,0,"Tân Phú, Hồ Chí Minh","Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoa-binh-1-phuong-hiep-tan-prj-can-ho-richstar/ha-gia-bat-ngo-2pn-gia-3ty-3pn-gia-4ty-da-co-hdmb-pr44741888
Căn hộ chung cư,"7,1 tỷ",57 m²,2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,"Giỏ hàng căn hộ độc quyền giá tốt nhất 1PN, 2PN, 3PN, view sông, phân khu CT5, Masteri Park Place",10.8059699828856,106.771377922686,0,"Quận 2, Hồ Chí Minh","Masteri Park Place, An Phú, Quận 2, Hồ Chí Minh",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-an-phu-prj-masteri-park-place/gio-hang-doc-quyen-gia-tot-nhat-1pn-2pn-3pn-view-song-phan-khu-ct5-place-pr44802686
Căn hộ chung cư,"2,1 tỷ","44,43 m²",2 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Nam,,,"Suất ngoại giao kí trực tiếp CDT căn hộ 2PN giá tốt, view biển, chiết khấu lên đến 40%",10.1250139965973,103.995459243998,0,"Phú Quốc, Kiên Giang","Meypearl Harmony Phú Quốc, ĐT 975, An Thới, Phú Quốc, Kiên Giang",04/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dt-975-phuong-an-thoi_1-prj-meypearl-harmony-phu-quoc/suat-ngoai-giao-ki-truc-tiep-cdt-tu-1pn-2pn-3pn-gia-tot-view-bien-chiet-khau-len-den-40-pr44556910
Căn hộ chung cư,"2,3 tỷ",45 m²,1 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,"Cần bán cắt lỗ hơn 500tr căn 1PN 45m2 chung cư Alacarte Hạ Long Bay, tòa cao ốc cao nhất Quảng Ninh",20.9535613839303,107.002629083437,0,"Hạ Long, Quảng Ninh","Dự án A La Carte Hạ Long Bay, Phường Hùng Thắng, Hạ Long, Quảng Ninh",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hung-thang-1-prj-a-la-carte-ha-long-bay/-ban-cat-lo-hon-500tr-1pn-45m2-alacarte-toa-cao-oc-cao-nt-quang-ninh-pr42063543
Căn hộ chung cư,"3,3 tỷ",65 m²,2 phòng,2 phòng,,Hợp đồng mua bán,Cơ bản,Đông - Nam,Đông - Nam,,,Bcons NewSky không gian sống lý tưởng cho gia đình tại cửa ngõ TP. HCM,10.890518420285993,106.7024348511684,0,"Thuận An, Bình Dương","Dự án Bcons NewSky, Đường Quốc Lộ 13, Phường Lái Thiêu, Thuận An, Bình Dương",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-13-phuong-lai-thieu-prj-bcons-newsky/-sieu-pham-moi-mat-tien-13-thanh-p-chi-minh-pr44697773
Căn hộ chung cư,"2,6 tỷ",45 m²,2 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc,Đông - Nam,,,Meypearl PQ em có quỹ căn vip view biển top 1 nghỉ dưỡng-đầu tư chỉ từ 500tr ck 35% - lh 0368 682 ***,10.125485232359562,103.99576010792796,0,"Phú Quốc, Kiên Giang","Dự án Meypearl Harmony Phú Quốc, Đường ĐT 975, Phường An Thới, Phú Quốc, Kiên Giang",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dt-975-phuong-an-thoi_1-prj-meypearl-harmony-phu-quoc/nh-booking-top-1-nghi-gia-dau-tu-chi-tu-500tr-lh-vu-pr44588797
Căn hộ chung cư,"3,85 tỷ","51,52 m²",1 phòng,1 phòng,,Hợp đồng mua bán,Nội thất nguyên bản chủ đầu tư Capitaland bàn giao.,,,,,"Bán căn hộ T3, bán được cho người nước ngoài tòa Soho Heritage Westlake Tây Hồ. CĐT Capitaland",21.0719628780015,105.812401404243,0,"Tây Hồ, Hà Nội","Dự án Heritage West Lake, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lac-long-quan-phuong-phu-thuong-1-prj-heritage-west-lake/chinh-chu-ban-studio-toa-so-westlake-tay-chu-dau-tu-capitaland-pr43223769
Căn hộ chung cư,"5,68 tỷ",72 m²,2 phòng,1 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,,"THE MERIDIAN - Căn hộ 2PN Hải Châu, giá từ 3 tỷ, vốn ban đầu chỉ 1,5 tỷ (30%)",16.03396621571636,108.2318802996856,0,"Hải Châu, Đà Nẵng","The Meridian, Đường Quy Mỹ, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quy-my-phuong-hoa-cuong-nam-prj-the-meridian/-2pn-trung-tam-hai-chau-gia-tu-5-ty-von-ban-dau-chi-1-9-ty-30-pr44791880
Căn hộ chung cư,"32,7 tỷ",351 m²,,,,,,,,,,"Trực tiếp CĐT bán Penthouse Víp nhất dự án Lumi Hà Nội,Mua là thắng 351m2 hơn 32 tỷ,căn 400m2-39 tỷ",21.01186618425204,105.735853086106,0,"Nam Từ Liêm, Hà Nội","Lumi Hanoi, Đại lộ Thăng Long, Tây Mỗ, Nam Từ Liêm, Hà Nội",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-lumi-hanoi/truc-tiep-cdt-ban-penthouse-vip-nhat-du-an-ha-noi-mua-la-351m2-hon-32-ty-400m2-39-ty-pr44801410
Căn hộ chung cư,"5,8 tỷ",70 m²,2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Đông - Nam,,,"Tổng hợp quỹ 18 căn hộ bán tại khu nhà ở CBCS BCA & HH Epichomes, 43 Phạm Văn Đồng. Giá từ 5,7 tỷ",21.0556609773778,105.776941971972,0,"Bắc Từ Liêm, Hà Nội","Dự án Nhà ở cho CBCS Bộ Công an, 43 Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",13/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-co-nhue-2-prj-nha-o-cho-can-bo-chien-sy-bo-cong-an/cn-loc-cac-43-cbcs-ca-thai-ha-constrexim-loai-2-3-pn-duplex-gia-tot-pr43122431
Căn hộ chung cư,"7,5 tỷ",100 m²,3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,,"Duy nhất 1 căn 100m2, 3 ngủ giá 7 tỷ 5 rẻ nhất thị trường",21.07537557911187,105.69739640419736,0,"Hoài Đức, Hà Nội","Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",15/12/2025,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-32-xa-di-trach-prj-chung-cu-the-wisteria/top-6-gia-tot-nhat-thang-12-2025-73m-83m-100m-114m-138m-khong-dang-ao-pr44732404
