property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,front_road_width,latitude,longitude,address,district,city_province
Nhà mặt phố,19.9,159.0,5,4,5,Sổ đỏ/ Sổ hồng,"Nội thất full: Giường, tủ, bàn ghế, sofa, máy lạnh",10.0,10.772088223851,106.767244243557,"Dự án Khu đô thị Cát Lái, Đường Đồng Văn Cống, Phường Cát Lái, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Nhà mặt phố,23.5,65.8,,,1,Sổ đỏ/ Sổ hồng,,5.34,20.9959267707574,105.874008082755,"248, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hai Bà Trưng,Hà Nội
Nhà mặt phố,7.55,44.5,2,1,1,Sổ đỏ/ Sổ hồng,Cơ bản,3.5,10.8234162094596,106.682036102599,"Đường Phạm Ngũ Lão, Phường 1, Gò Vấp, Hồ Chí Minh",Gò Vấp,Hồ Chí Minh
Nhà mặt phố,20.5,200.0,3,3,3,Sổ đỏ/ Sổ hồng,Không nội thất,10.0,16.0210856166281,108.215548579288,"Đường Trần Huấn, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",Cẩm Lệ,Đà Nẵng
Nhà mặt phố,48.8,327.0,,,3,Sổ đỏ/ Sổ hồng,Cơ bản,8.0,16.0655738050561,108.199226640761,"Đường Điện Biên Phủ, Phường Chính Gián, Thanh Khê, Đà Nẵng",Thanh Khê,Đà Nẵng
Nhà mặt phố,53.0,68.0,10,6,7,Sổ đỏ/ Sổ hồng,Cơ bản,16.0,10.7673966043754,106.69746837096,"Đường Yersin, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",Quận 1,Hồ Chí Minh
Nhà mặt phố,16.0,492.0,4,2,4,Sổ đỏ/ Sổ hồng,Không nội thất,9.5,10.6557866188454,106.940718143743,"Đường Hùng Vương, Xã Phước An, Nhơn Trạch, Đồng Nai",Nhơn Trạch,Đồng Nai
Nhà mặt phố,19.9,119.0,7,8,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.8326115709923,106.683998787897,"Đường Số 4, Phường 7, Gò Vấp, Hồ Chí Minh",Gò Vấp,Hồ Chí Minh
Nhà mặt phố,8.5,74.0,4,5,3,Sổ đỏ/ Sổ hồng,Đầy đủ,4.5,10.6971183610265,106.740634308607,"Đường Huỳnh Thị Đồng, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",Nhà Bè,Hồ Chí Minh
Nhà mặt phố,20.0,58.0,5,5,5,Sổ đỏ/ Sổ hồng,Cơ bản,,10.7894217762811,106.691620963152,"Đường Đinh Công Tráng, Phường Tân Định, Quận 1, Hồ Chí Minh",Quận 1,Hồ Chí Minh
Nhà mặt phố,22.8,105.0,4,5,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.8062511942525,106.750750273432,"16 Đường Số 16, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,Hồ Chí Minh
Căn hộ chung cư,7.5,181.0,2,2,3,Đang chờ sổ,Không nội thất,,10.7357123218165,106.740179487245,"Dự án Jamona City, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Căn hộ chung cư,6.95,75.0,2,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,20.9945778551689,105.789391540662,"Ecolife Capitol, Tố Hữu, Trung Văn, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Căn hộ chung cư,2.1,60.0,2,2,3,Sổ đỏ/ Sổ hồng,,,10.890916699092331,106.78508127219928,"Dự án Phúc Đạt Tower, 160 Đường Quốc lộ 1K, Phường Đông Hòa, Dĩ An, Bình Dương",Dĩ An,Bình Dương
Căn hộ chung cư,3.88,82.0,3,2,3,Sổ đỏ/ Sổ hồng,Cơ bản,,10.7672627797203,106.612905566667,"Hoàng Kim Thế Gia (The Golden Dynasty), Trương Phước Phan, Bình Trị Đông, Bình Tân, Hồ Chí Minh",Bình Tân,Hồ Chí Minh
Căn hộ chung cư,7.9,103.0,3,3,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,20.9760161942439,105.761679104069,"Dự án The Pride, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",Hà Đông,Hà Nội
Căn hộ chung cư,4.7,54.0,2,2,3,Sổ hồng,,,21.0064846643017,105.736335420012,"The Sapphire-Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Căn hộ chung cư,8.5,108.0,3,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.034513939497696,105.76367071485647,"Dự án Mỹ Đình I, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Căn hộ chung cư,7.5,83.2,3,2,3,Sổ đỏ/ Sổ hồng ( sử dụng chung),Đầy đủ,,20.959400912206075,105.79184462549654,"Dự án The K Park, Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội",Hà Đông,Hà Nội
Căn hộ chung cư,5.9,99.0,3,3,3,Sổ hồng,Cơ bản,,10.757698837175706,106.69254179446654,"Dự án Orient Apartment, Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",Quận 4,Hồ Chí Minh
Căn hộ chung cư,3.72,55.0,2,1,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,20.9903914119972,105.940413123295,"Dự án The Sapphire 2 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Căn hộ chung cư,3.75,73.0,2,2,3,Sổ đỏ/ Sổ hồng ( sử dụng chung),Đầy đủ,,10.8007107821868,106.821817856633,"Dự án MT Eastmark City, Phường Long Trường, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Căn hộ chung cư,10.5,104.7,3,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.08426435649132,105.7910729450021,"Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,Hà Nội
