address,area,city_province,district,front_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,price_per_m2,log_price,log_price_per_m2,is_apartment,is_house,is_villa,has_interior_info,interior_score,legal_score,address_norm
"Đường Thạnh Lộc 19, Phường An Phú Đông, Quận 12, Hồ Chí Minh",53.4,Hồ Chí Minh,Quận 12,4.0,Nội thất đầy đủ,10.8708533089449,Sổ riêng,106.685473045173,4.0,4.0,4.0,6.95,Nhà riêng,batdongsancomvn,130.1498127340824,2.0731719286662407,4.876340278436015,0,1,0,1,2.0,4,duong thanh loc 19 phuong an phu dong quan 12 ho chi minh
"Phố Vũ Ngọc Phan, Phường Láng Hạ, Đống Đa, Hà Nội",90.0,Hà Nội,Đống Đa,5.0,,21.0143889380353,Sổ riêng,105.810674102728,19.0,18.0,8.0,41.8,Nhà riêng,batdongsancomvn,464.44444444444446,3.756538102587751,6.142992743610815,0,1,0,0,,4,pho vu ngoc phan phuong lang ha dong da ha noi
"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",70.0,Hà Nội,Đống Đa,7.0,Nội thất đầy đủ,21.014747663492,Sổ riêng,105.81774191565,22.0,21.0,9.0,36.0,Nhà riêng,batdongsancomvn,514.2857142857143,3.6109179126442243,6.244721531848226,0,1,0,1,2.0,4,pho thai ha phuong lang ha dong da ha noi
"Dự án Vinhomes Ocean Park 3, Đường Phố Biển, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",120.0,Hưng Yên,Văn Giang,8.0,Không nội thất,20.941492209599193,Không có,105.95631277238182,4.0,6.0,5.0,17.3,Biệt thự,batdongsancomvn,144.16666666666666,2.9069010598473755,4.9778825076244475,0,0,1,1,0.0,0,du an vinhomes ocean park 3 duong pho bien xa nghia tru van giang hung yen
"Dự án Thảo Nguyên Sài Gòn, Đường D6, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",384.0,Hồ Chí Minh,Quận 9,16.0,Không nội thất,10.8667745685491,Sổ riêng,106.816714865984,5.0,3.0,3.0,28.0,Biệt thự,batdongsancomvn,72.91666666666667,3.367295829986474,4.302938332521579,0,0,1,1,0.0,4,du an thao nguyen sai gon duong d6 phuong long thanh my quan 9 ho chi minh
"Dự án La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",87.0,Bà Rịa Vũng Tàu,Vũng Tàu,7.5,Nội thất đầy đủ,10.3959687440857,Không có,107.148755936921,5.0,4.0,3.0,10.0,Biệt thự,batdongsancomvn,114.94252873563218,2.3978952727983707,4.753094626400252,0,0,1,1,2.0,0,du an la vida residences duong 3 2 phuong 12 vung tau ba ria vung tau
"Dự án Sol Lake Villa, Phường Yên Nghĩa, Hà Đông, Hà Nội",222.5,Hà Nội,Hà Đông,10.0,Không nội thất,20.95999305636312,Sổ riêng,105.73599357313644,6.0,6.0,4.0,36.0,Biệt thự,batdongsancomvn,161.79775280898878,3.6109179126442243,5.0925086500885826,0,0,1,1,0.0,4,du an sol lake villa phuong yen nghia ha dong ha noi
"La Vida Residences, Đường 3/2, Phường 12, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",78.0,Bà Rịa Vũng Tàu,Vũng Tàu,5.0,,10.3952767635214,Không có,107.147610144103,5.0,4.0,4.0,6.25,Biệt thự,batdongsancomvn,80.12820512820512,1.9810014688665833,4.396030682757898,0,0,1,0,,0,la vida residences duong 3 2 phuong 12 thanh pho vung tau ba ria vung tau
"Dự án La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",273.0,Bà Rịa Vũng Tàu,Vũng Tàu,15.0,Không nội thất,10.3957453565289,Không có,107.148089911336,5.0,4.0,3.0,22.0,Biệt thự,batdongsancomvn,80.58608058608058,3.1354942159291497,4.401658666366525,0,0,1,1,0.0,0,du an la vida residences duong 3 2 phuong 12 vung tau ba ria vung tau
"La Vida Residences, Đường 3/2, Phường 12, Vũng Tàu, Bà Rịa Vũng Tàu",103.6,Bà Rịa Vũng Tàu,Vũng Tàu,7.5,Không nội thất,10.3962915791956,Sổ riêng,107.147624089501,5.0,3.0,4.0,8.85,Biệt thự,batdongsancomvn,85.42471042471043,2.2874714551839976,4.459273635205725,0,0,1,1,0.0,4,la vida residences duong 3 2 phuong 12 vung tau ba ria vung tau
"ParaSol, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",122.2,Khánh Hòa,Cam Ranh,5.0,,11.9955681538647,Sổ riêng,109.231970091279,3.0,3.0,2.0,4.8,Biệt thự,batdongsancomvn,39.27986906710311,1.7578579175523736,3.695851817276635,0,0,1,0,,4,parasol phuong cam nghia cam ranh khanh hoa
"Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã Song Phương, Hoài Đức, Hà Nội",278.0,Hà Nội,Hoài Đức,11.65,Không nội thất,21.0149061647214,Sổ riêng,105.723914584099,6.0,3.0,4.0,41.7,Biệt thự,batdongsancomvn,150.0,3.754198920234579,5.017279836814924,0,0,1,1,0.0,4,du an mailand hanoi city duong dai lo thang long xa song phuong hoai duc ha noi
"Vinhomes Royal Island, Phường Thủy Hà, Thủy Nguyên, Hải Phòng",67.5,Hải Phòng,Thủy Nguyên,4.5,,20.8733939477895,Không có,106.720503084362,4.0,3.0,4.0,8.8,Biệt thự,batdongsancomvn,130.37037037037038,2.2823823856765264,4.878020588769293,0,0,1,0,,0,vinhomes royal island phuong thuy ha thuy nguyen hai phong
