Unnamed: 0,property_type,price,area,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal,front_width,raw_area,latitude,longitude
4733,Biệt thự,12.2,314.0,3,3,3,"Phường Chánh Lộ, TP. Quảng Ngãi, Quảng Ngãi",Quảng Ngãi,TP. Quảng Ngãi,Giấy tờ hợp lệ,17.0,"314 m² (17,0x18,5)",15.3864073,108.7029729
4734,Nhà hẻm ngõ,3.5,85.0,4,3,3,"phố Độc lập, Đường Hà Lầm, Phường Hà Lầm, TP. Hạ Long, Quảng Ninh",Quảng Ninh,TP. Hạ Long,Sổ hồng,5.0,"85 m²(5,0x15,0)",20.9673813,107.0836823
4735,Biệt thự,630.0,5000.0,0,0,0,"Đường Hoàng Quốc Việt, Bãi Cháy, TP. Hạ Long, Quảng Ninh",Quảng Ninh,TP. Hạ Long,Sổ đỏ,50.0,"5.000 m²(50,0x92,0)",20.9673813,107.0836823
4736,Nhà mặt tiền,2.05,61.0,2,1,2,"32, Đường Hoàng Quốc Việt, Phường Cẩm Sơn, Thành phố Cẩm Phả, Quảng Ninh",Quảng Ninh,Thành phố Cẩm Phả,Sổ hồng,5.0,"61 m²(5,0x12,0)",21.0106431,107.2705943
4737,Nhà hẻm ngõ,3.5,299.0,11,7,0,"Phường Cẩm Thành, Thành phố Cẩm Phả, Quảng Ninh",Quảng Ninh,Thành phố Cẩm Phả,Giấy tờ hợp lệ,11.0,"299 m²(11,0x30,0)",21.0106431,107.2705943
4738,Mặt tiền,2.0,61.0,2,1,1,"Phường Cẩm Sơn, Thành phố Cẩm Phả, Quảng Ninh",Quảng Ninh,Thành phố Cẩm Phả,Giấy tờ hợp lệ,5.0,"61 m²(5,0x12,0)",21.0106431,107.2705943
4739,Nhà hẻm ngõ,3.5,85.0,4,3,3,"phố Độc lập, Đường Hà Lầm, Phường Hà Lầm, TP. Hạ Long, Quảng Ninh",Quảng Ninh,TP. Hạ Long,Sổ hồng,5.0,"85 m²(5,0x15,0)",20.9673813,107.0836823
4740,Biệt thự,630.0,5000.0,0,0,0,"Đường Hoàng Quốc Việt, Bãi Cháy, TP. Hạ Long, Quảng Ninh",Quảng Ninh,TP. Hạ Long,Sổ đỏ,50.0,"5.000 m²(50,0x92,0)",20.9673813,107.0836823
4741,Nhà mặt tiền,2.05,61.0,2,1,2,"32, Đường Hoàng Quốc Việt, Phường Cẩm Sơn, Thành phố Cẩm Phả, Quảng Ninh",Quảng Ninh,Thành phố Cẩm Phả,Sổ hồng,5.0,"61 m²(5,0x12,0)",21.0106431,107.2705943
4742,Nhà hẻm ngõ,3.5,299.0,11,7,0,"Phường Cẩm Thành, Thành phố Cẩm Phả, Quảng Ninh",Quảng Ninh,Thành phố Cẩm Phả,Giấy tờ hợp lệ,11.0,"299 m²(11,0x30,0)",21.0106431,107.2705943
4743,Mặt tiền,2.0,61.0,2,1,1,"Phường Cẩm Sơn, Thành phố Cẩm Phả, Quảng Ninh",Quảng Ninh,Thành phố Cẩm Phả,Giấy tờ hợp lệ,5.0,"61 m²(5,0x12,0)",21.0106431,107.2705943
4744,Nhà hẻm ngõ,3.5,85.0,4,3,3,"phố Độc lập, Đường Hà Lầm, Phường Hà Lầm, TP. Hạ Long, Quảng Ninh",Quảng Ninh,TP. Hạ Long,Sổ hồng,5.0,"85 m²(5,0x15,0)",20.9673813,107.0836823
