address,area,city_province,district,front_road_width,interior,latitude,legal,longitude,n_bathrooms,n_bedrooms,n_floors,price,property_type,source,has_interior_info,price_per_m2
"Hẻm 21, Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",63.0,Hồ Chí Minh,Quận 7,4.0,Nội thất đầy đủ,10.7430328030964,Sổ riêng,106.725582355903,5.0,4.0,4.0,9.1,Nhà riêng,batdongsancomvn,1,144.44444444444446
"Đường Mỹ Đình 1, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",45.0,Hà Nội,Nam Từ Liêm,4.8,Nội thất đầy đủ,21.0297012712805,Sổ riêng,105.774763944957,3.0,3.0,7.0,15.8,Nhà riêng,batdongsancomvn,1,351.1111111111111
"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",100.0,Hà Nội,Long Biên,4.5,Nội thất đầy đủ,21.0656812655809,Sổ riêng,105.898448624312,5.0,4.0,7.0,25.8,Nhà riêng,batdongsancomvn,1,258.0
"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",64.0,Hồ Chí Minh,Quận 12,4.0,Nội thất cơ bản,10.8424760150675,Sổ riêng,106.630405540173,4.0,3.0,2.0,5.39,Nhà riêng,batdongsancomvn,1,84.21875
"Đường Trần Văn Khánh, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",45.06,Hồ Chí Minh,Quận 7,6.57,Nội thất đầy đủ,10.756238237084,Sổ riêng,106.723002252785,3.0,3.0,2.0,6.5,Nhà riêng,batdongsancomvn,1,144.25210830004437
"Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",124.2,Hồ Chí Minh,Tân Bình,4.2,Nội thất đầy đủ,10.8059790133503,Sổ riêng,106.667884047673,6.0,6.0,5.0,24.5,Nhà riêng,batdongsancomvn,1,197.26247987117551
"518 Phạm Văn Chiêu, 8, Gò Vấp, Hồ Chí Minh",86.5,Hồ Chí Minh,Gò Vấp,6.0,Nội thất đầy đủ,10.845161768287,Sổ riêng,106.642394383085,11.0,11.0,6.0,14.76,Nhà riêng,batdongsancomvn,1,170.635838150289
"Đường Hồ Văn Huê, Phường Phước Tân, Biên Hòa, Đồng Nai",86.2,Đồng Nai,Biên Hòa,4.0,Nội thất đầy đủ,10.874764362958,Sổ riêng,106.915827055354,2.0,4.0,3.0,3.3,Nhà riêng,batdongsancomvn,1,38.2830626450116
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",72.0,Hà Nội,Hà Đông,6.0,,20.9592743800033,Sổ riêng,105.785753846652,4.0,5.0,5.0,21.5,Nhà riêng,batdongsancomvn,0,298.6111111111111
"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội",121.9,Hà Nội,Ba Đình,7.1,,21.045854172458,Sổ riêng,105.811497007805,28.0,28.0,7.0,29.5,Nhà riêng,batdongsancomvn,0,242.0016406890894
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",59.9,Hồ Chí Minh,Nhà Bè,4.0,Nội thất cao cấp,10.692492510211,Sổ riêng,106.740737387325,5.0,4.0,3.0,6.79,Nhà riêng,batdongsancomvn,1,113.35559265442404
"Ngõ 98, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",35.0,Hà Nội,Đống Đa,3.8,,21.0125596614246,Sổ riêng,105.820101348543,7.0,3.0,4.0,15.3,Nhà riêng,batdongsancomvn,0,437.14285714285717
"239/7, Đường Bà Hom, Phường 13, Quận 6, Hồ Chí Minh",40.0,Hồ Chí Minh,Quận 6,4.2,Nội thất đầy đủ,10.7550477814405,Sổ riêng,106.629677434235,3.0,2.0,5.0,5.9,Nhà riêng,batdongsancomvn,1,147.5
