,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
1833,Nhà mặt tiền,4.99,46.0,m²,5.0,5.0,3.0,11.6,"Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.0,,4.99,"46 m²(4,0x11,6)",5 phòng,5 WC,Thiên
1834,Nhà mặt tiền,3.45,50.0,m²,3.0,3.0,1.0,10.0,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,5.0,,3.45,"50 m²(5,0x10,0)",3 phòng,3 WC,Thiên
1835,Nhà hẻm ngõ,3.99,66.0,m²,3.0,4.0,2.0,17.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,4.5,,3.99,"66 m²(4,5x17,0)",3 phòng,4 WC,Thiên
1836,Nhà mặt tiền,7.9,100.0,m²,4.0,5.0,4.0,20.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Tây Nam,5.0,,7.9,"100 m²(5,0x20,0)",4 phòng,5 WC,Thiên
1837,Nhà mặt tiền,5.79,80.0,m²,4.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.79,"80 m²(5,0x16,0)",4 phòng,4 WC,Thiên
1838,Nhà mặt tiền,5.89,85.0,m²,4.0,5.0,3.0,17.0,"Đường Khu dân cư Hồng Loan, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Sổ hồng,Đông Bắc,5.0,Đông Bắc,5.89,"85 m²(5,0x17,0)",4 phòng,5 WC,Thiên
1839,Nhà hẻm ngõ,3.09,70.0,m²,3.0,2.0,2.0,15.0,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.3,,3.09,"70 m²(4,3x15,0)",3 phòng,2 WC,Thiên
1840,Nhà mặt tiền,16.5,108.0,m²,5.0,6.0,4.0,24.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.5,,16.5,"108 m²(4,5x24,0)",5 phòng,6 WC,Thiên
1841,Nhà hẻm ngõ,3.09,70.0,m²,3.0,2.0,1.0,15.1,"Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,4.3,,3.09,"70 m²(4,3x15,1)",3 phòng,2 WC,Thiên
1842,Nhà hẻm ngõ,2.29,84.0,m²,2.0,2.0,1.0,17.0,"Phường An Lạc, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.5,,2.29,"84 m²(4,5x17,0)",2 phòng,2 WC,Thiên
1843,Nhà hẻm ngõ,2.55,40.0,m²,3.0,2.0,2.0,7.2,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,5.5,,2.55,"40 m²(5,5x7,2)",3 phòng,2 WC,Thiên
1844,Nhà hẻm ngõ,5.09,53.6,m²,3.0,3.0,3.0,9.8,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,5.5,,5.09,"53,6 m²(5,5x9,8)",3 phòng,3 WC,Thiên
